date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:37:02	100406/100406	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jun%202024%2015:37:03%20GMT	https://baykarmagaza.com/tr/product/detail/bayraktar-kizilelma-ekru-tisort	C:/Benim%20Web%20Sitem/asdasdasd/baykarmagaza.com/tr/product/detail/bayraktar-kizilelma-ekru-tisort.html	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:37:03	82379/82379	---M--	200	added ('OK')	image/jpeg	etag:%22b78a977862049e2dc506abce8ab557df%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/dZIrqykbsiRI5mxWyt19gi6wC5n6rgrB.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/dZIrqykbsiRI5mxWyt19gi6wC5n6rgrB.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:37:03	68698/68698	---M--	200	added ('OK')	image/jpeg	etag:%22abb8f0f6d107dc37e3c5b1b9abc58f7c%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/0X70bFD5kWLt25q2m2cnRIIX9OQRj6jk.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/0X70bFD5kWLt25q2m2cnRIIX9OQRj6jk.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:37:03	100271/100271	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jun%202024%2015:37:04%20GMT	https://baykarmagaza.com/tr/product/detail/mini-iha-yesil-tisort	C:/Benim%20Web%20Sitem/asdasdasd/baykarmagaza.com/tr/product/detail/mini-iha-yesil-tisort.html	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:37:04	987100/987100	---M--	200	added ('OK')	image/jpeg	etag:%2202f053aee0fb7e98d3bec0812d606211%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/DAzX6l5d44Jk0f14clyCtnitTR0Xwtb4.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/DAzX6l5d44Jk0f14clyCtnitTR0Xwtb4.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:37:04	496/496	---M--	200	added ('OK')	application/javascript	etag:%22f40619a6099e1195b87ec3b86d346081%22	https://cdn.baykarmagaza.com/staticv2/js/product_list.js	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/staticv2/js/product_list.js	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
18:37:04	66050/66050	---M--	200	added ('OK')	image/jpeg	etag:%223e90e0e41d907511be3547abc8597ff5%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/0yNn5dKbfHoOPsaHCas3TETlwiKQXaLF.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/0yNn5dKbfHoOPsaHCas3TETlwiKQXaLF.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=5,19)
18:37:04	63365/63365	---M--	200	added ('OK')	image/jpeg	etag:%227156f3d6b83f92b4b81f6c0d428e8c42%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/7hfoJgCwei51yVIeEJ9fmNmD4yOL1Y5K.JPG	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/7hfoJgCwei51yVIeEJ9fmNmD4yOL1Y5K.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=5,19)
18:37:05	72598/72598	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jun%202024%2015:37:05%20GMT	https://baykarmagaza.com/tr/product/detail/132-olcek-bayraktar-tb2-maket	C:/Benim%20Web%20Sitem/asdasdasd/baykarmagaza.com/tr/product/detail/132-olcek-bayraktar-tb2-maket.html	(from https://baykarmagaza.com/tr/product/product-list/?category=5,19)
18:37:05	950021/950021	---M--	200	added ('OK')	image/jpeg	etag:%2258adbb858f60e6c1ce24e0de11c6ced6%22	https://cdn.baykarmagaza.com/media/upload/userFormUpload/6BGM5SCPUiYtUJvSbOzSJdw0i90CHw5r.jpg	C:/Benim%20Web%20Sitem/asdasdasd/cdn.baykarmagaza.com/media/upload/userFormUpload/6BGM5SCPUiYtUJvSbOzSJdw0i90CHw5r.jpg	(from https://baykarmagaza.com/tr/product/product-list/?category=100,101,102,169,176,168)
